#,RA,DEC,PMRA,PMDEC,PLX,PLX_ERR,BP_RP,RV,L,B,DIST_1000,"(u,v,w)"
8176073,251.45710807404342,-44.631217880434804,-40.17261386086054,74.28227090378425,17.421723515613312,0.017849203199148178,1.4833498001098633,-40.004886627197266,340.3363131736863,0.5534127510663425,57.39971927656029,"(-35.09050982702168, 21.295821079876532, 21.06088567550907)"
8176091,251.45739867556895,-44.63163500489219,-37.061692444649864,80.27751617812629,17.43617577082455,0.02003999799489975,1.4014930725097656,-40.22675704956055,340.3361307763339,0.5529843879314017,57.35217282366989,"(-34.703370009196775, 23.049443754853627, 21.45869716732966)"
8182877,98.88985738471261,13.852900933490105,14.007645498886863,0.29991463573576055,13.38973130023999,0.0215153731405735,1.5663213729858398,-11.749588012695312,198.80706255773325,2.8290710796663268,74.68446892367808,"(12.018818612804457, 1.7932951340205547, 3.8717496085796808)"
8191431,98.40062227408488,14.154780002108398,-13.714070978643543,-86.55692566033474,11.36448425144599,0.07854558527469635,1.2383427619934082,-11.207634925842285,198.32051684282916,2.5457698181607156,88.00147269212388,"(18.969696478299618, -24.732730121958767, -22.150187729979883)"
8196079,250.9442994032773,-44.07540909722511,-51.61417403050318,-95.04582274432498,10.45233704119942,0.012495794333517551,1.6068620681762695,35.30400753793608,340.51811402898034,1.1939824994406578,95.6726440974478,"(17.505988285199102, -57.00720750293416, -9.809543090541917)"
8196580,99.60278974716873,13.201874862559873,-49.73375893070768,-47.22768722683344,16.307600114110027,0.01718839816749096,1.3626203536987305,10.771428108215332,199.70414868832847,3.148003034196636,61.3212334597506,"(-9.218740240088383, -9.27338114387653, -18.507561037355618)"
8199056,274.4965609894353,-15.853307463796822,28.90319864006106,-29.938916639777034,11.857300231883642,0.016515634953975677,2.1142826080322266,2.037999153137207,15.058216152563924,-0.002558354496600561,84.33654348002051,"(3.28247902583465, -4.359019920295365, -15.848375799296981)"
8199119,99.56081200261097,13.457329961397262,10.526655798551948,-40.17409474824352,11.494057332988405,0.016797691583633423,1.0268335342407227,21.77254295349121,199.4578037322476,3.2281755916636286,87.00183553710872,"(-15.12116535459174, -23.080601992911532, -2.461664399981382)"
8201433,251.60657035288207,-43.57127402329361,17.953007864758042,31.528369187537862,11.776273500412143,0.024595506489276886,1.0429363250732422,1.3260927200317383,341.2120301733539,1.160288337137201,84.91721544088193,"(5.823398969777114, 13.173209416332165, 2.7604679143617936)"
8201815,254.67964375987438,-40.222424224387666,-143.7078989392739,-126.21867215323303,13.238826888555606,0.01720344088971615,1.1178722381591797,-49.42133331298828,345.2523308678875,1.515877480288539,75.53563908085437,"(-65.2406320591945, -52.48239666716157, 11.059611081890885)"
8201819,254.68754077640904,-40.21832057867021,-143.13139789778734,-127.51158004923397,13.267512474077249,0.022624816745519638,1.4515047073364258,-49.62984085083008,345.25929086200574,1.5136884393841934,75.3725009711701,"(-65.4459182618279, -52.525921320877174, 10.587702513925148)"
8226314,275.84134404821737,-14.851280912355508,-40.3159838730867,75.93506205109227,10.038438249921263,0.02137359045445919,1.8874874114990234,-78.38384383687715,16.553161771846394,-0.6740643959490712,99.61794757477094,"(-81.2338763299393, -0.40592723227520366, 34.54383978651361)"
8231449,191.47312273222354,-60.23915419364447,98.48763059249012,-41.26312197943662,11.196281418214173,0.03549912944436073,2.700900077819824,23.10150476105283,302.2430864813543,2.625178725414869,89.31708405055616,"(48.2968511728068, 2.2829006064207924, -15.492618877073518)"
8232177,192.22861191786347,-59.829975026068006,-41.80076400263155,-17.08749280268936,10.655070912479824,0.014183273538947105,2.3585567474365234,-11.615727472395413,302.61442398985025,3.040219327592677,93.85234371015372,"(-21.630597355064754, -0.5603645051797885, -8.389534983440516)"
8233307,191.51058971256174,-59.605377284319566,29.12567217771531,-12.102263606530592,10.497191477977518,0.019389066845178604,1.2697677612304688,10.702627182006836,302.2483864321313,3.259211622165032,95.26419523935203,"(17.07763588089956, -2.2084855899075286, -4.571260281328981)"
8234765,193.09690887020597,-62.938193431019,-278.20845131357135,32.72512292835874,24.08533886094154,0.015927184373140335,2.5453338623046875,-11.013289488715433,303.0399384222446,-0.06664261907099972,41.51906943079098,"(-51.88251833645939, -20.615775068202026, 6.655662939252876)"
8239646,196.1801919164521,-62.25693284786279,-247.30058991147345,99.15222700264354,31.76169874511663,0.011895616538822651,1.9640026092529297,-30.65275001525879,304.4771359088298,0.57495851613337,31.484470781947493,"(-47.203080970708015, 4.971189524252914, 16.373370089629063)"
8240483,191.63282950446026,-60.01433473184331,-172.85053676033155,-36.22894412784933,12.635208123601695,0.012261839583516121,2.079543113708496,-16.32584878807786,302.3181356473983,2.851567668881955,79.14407101452525,"(-62.8982046080096, -21.368804568481295, -15.620817395684908)"
